,mse,mae,aic,bic
Official Core Consumer Price Index,0.6510064312460367,0.8065684315296265,-9082.761962923636,-9076.94308312618
Energy Price Index,0.19249436852219903,0.42436868748956863,-148.65026139437717,-142.83138159692118
Food Price Index,0.8900370350483153,0.9418548714389195,-2082.2643742921373,-2076.4454944946815
Headline Consumer Price Index,0.9132722106741387,0.9553922381219206,-12186.282587251255,-12180.463707453799
Producer Price Index,1.1472805972228721,1.0701067367156718,-1174.0775534903128,-1168.2586736928567
Petrol,0.6085525499176566,0.737962184731984,-32.07807346809032,-26.25919367063431
Diesel,0.8150101155223136,0.876095294639137,-54.51572836054436,-48.69684856308835
