,Official Core Consumer Price Index,Energy Price Index,Food Price Index,Headline Consumer Price Index,Producer Price Index,Petrol,Diesel
2005-01-01,-0.0021645021645020357,-0.05606060606060609,0.008999830191883385,-0.0003321707357581971,0.013067935958459669,-0.016724735187521267,0.02909036325427783
2005-02-01,-0.0019980019980021385,0.01060606060606073,0.00798098149091521,-0.0003321707357581416,-0.0010240876965239842,0.011038024869345797,0.0009556689682774788
2005-03-01,0.003496503496503822,0.07272727272727261,0.0125658006452707,0.0029895366218236352,0.00043271311120733624,0.061794250548981466,0.05346942860002013
2005-04-01,-0.0004995004995005103,-0.018181818181818132,-0.007811173374087113,-0.0011625975751535789,-0.005769508149430343,-0.020840591898440453,-0.02696287401180819
2005-05-01,-0.000333000333000405,-0.06060606060606055,0.0037357785702154117,-0.0006643414715163665,-0.023640559642290573,0.02302817324442863,0.019265485840087804
2005-06-01,0.0016650016650015531,-0.003030303030303133,0.008660213958227192,-0.0004982561036372679,0.013212173662195362,-0.07900522616687677,-0.08752526768738056
2005-07-01,0.004995004995004965,0.06060606060606066,-0.00781117337408721,0.004816475668493525,0.010457233520842171,0.03500864353270172,0.042327962907368066
2005-08-01,-0.0011655011655011815,0.003030303030303036,0.003565970453387579,-0.0011625975751535789,-0.009822587624404688,0.10618930337798604,0.08089662763934757
2005-09-01,-0.003163503163503334,0.03333333333333326,-0.005094243504839419,0.0021591097824282257,-0.01856339247079203,0.017411879350967552,-0.001817272090463451
2005-10-01,-0.0011655011655008762,-0.053030303030303,-0.010528103243335155,-0.003487792725460792,-0.012765036780614511,-0.05853807492841545,-0.06264685279695759
2005-11-01,-0.0009990009990009652,-0.08030303030303025,0.0015282730514519088,-0.004816475668493664,0.030203375162267468,-0.08141607096373771,-0.08018146035558249
2005-12-01,-0.004162504162504299,-0.06969696969696973,-0.003905586687043522,-0.0006643414715163665,0.026063753065051397,0.10409716799156354,0.09277827812802286
2006-01-01,0.0033300033300034115,0.03181818181818186,-0.0069621327899475755,-0.0006643414715163387,-0.009216789268714921,-0.013045393564405927,-0.06205844090863577
2006-02-01,0.0009990009990008542,-0.00303030303030305,-0.002207505518763919,-0.0006643414715163942,-0.0129381220250974,-0.060565467251356364,-0.028450915640948482
2006-03-01,-0.002497502497502635,-0.0787878787878788,-0.017829852266938104,-0.002159109782428059,-0.014971873647771458,-0.0031824219245381036,-0.010871610127089149
2006-04-01,-0.0004995004995005103,0.06212121212121213,0.009339446425539008,0.0034877927254608754,-0.003952113082359682,-0.018590937306020905,-0.008479935955168272
2006-05-01,-0.002331002331002141,0.036363636363636306,0.014603498047206731,0.0013286829430323999,-0.010341843357853917,0.05115536332872794,0.024096867807465006
2006-06-01,0.0016650016650018307,0.01666666666666672,0.010528103243335016,0.0029895366218236075,-0.014640126929179167,-0.07351274503914662,-0.033767637346142854
2006-07-01,-0.0034965034965035724,-0.06212121212121212,0.016641195449142596,-0.0023251951503070467,-0.0021347180152890832,0.12453027906262804,0.07887954901764604
2006-08-01,0.002331002331002252,0.01212121212121213,0.00067923246731183,0.0014947683109116094,-0.016745997403721596,-0.13443663522957128,-0.10690183128189701
2006-09-01,0.0038295038295038386,-0.01666666666666669,0.005943284088979581,-0.0019930244145489606,-0.026438771094764182,-0.1713588701334241,-0.08745922145501828
2006-10-01,-0.00016650016650016086,0.03333333333333331,0.00832059772457111,-0.0001660853678790708,-0.0051348622529927,0.04411605694719756,0.028547983588511516
2006-11-01,0.0016650016650015254,0.09242424242424235,0.00016980811682809627,0.003155621989702817,-0.008264820424059127,0.03732003764442071,0.03813869708796158
2006-12-01,0.0011655011655014036,0.028787878787878834,-0.009679062659195325,0.000996512207274397,-0.0025530073561227384,0.07362687971806758,0.0661376296741053
2007-01-01,-0.004162504162504271,-0.0545454545454545,-0.011546951944302775,-0.004650390300614565,-0.016111351507284127,-0.041952503954666764,-0.050141098769138304
2007-02-01,0.001831501831502047,-1.3877787807814457e-17,0.0020376974019359617,0.001162597575153801,0.019457666233953702,0.09244007929356601,0.05467527269088357
2007-03-01,0.0014985014985013367,0.05909090909090909,0.00916963830871087,0.002657365886065244,0.019746141641424964,0.040697022486534395,0.06638246772740874
2007-04-01,-0.0004995004995004826,-0.07575757575757575,0.0010188487009680225,-0.004650390300614482,0.0007644598297994465,-0.019172623695960955,-0.051843290303212
2007-05-01,0.001165501165501015,-0.06666666666666667,-0.020886398369842046,-0.004152134196977103,0.023914611279388542,-0.0747542099677625,-0.034499482971413364
2007-06-01,-0.0006660006660006434,-0.02575757575757579,-0.00373577857021562,0.00016608536787918182,0.023135727679215456,0.1799540124013007,0.11055071883651912
2007-07-01,-0.004662004662004449,-0.06212121212121209,-0.02835795551027348,-0.007307756186680114,-0.007673445838742299,-0.15066077972007008,-0.09698889222455709
2007-08-01,0.0013320013320011204,-0.0060606060606061,0.002207505518763947,0.0008304268393957148,0.009808163854031493,0.020718447768366732,0.03645351746222336
2007-09-01,-0.0039960039960039995,0.025757575757575812,0.012056376294786758,0.0006643414715161167,0.04935814221837592,0.1811123792742103,0.10591814269988964
2007-10-01,0.0018315018315017695,0.059090909090909055,0.01579215486500274,0.004318219564856368,0.011813067935958294,0.0280370837588354,0.07458954601554435
2007-11-01,-0.0018315018315016585,-0.054545454545454466,-0.00016980811682823505,0.0024912805181862285,0.017568152315015323,0.08667160582821054,0.07866439841222173
2007-12-01,0.0003330003330002662,0.021212121212121127,0.010528103243335168,0.000664341471516644,0.003043415548824202,-0.1761154829365319,-0.11851762900697138
