,Official Core Consumer Price Index,Energy Price Index,Food Price Index,Headline Consumer Price Index,Producer Price Index
2016-09-01,102.1,1.3,97.2,101.5,105.75
2016-10-01,102.2,1.3,96.7,101.6,108.1
2016-11-01,102.4,1.5,97.1,101.8,107.79
2016-12-01,102.8,1.8,97.9,102.2,107.79
2017-01-01,102.1,1.9,98.2,101.8,108.51
2017-02-01,102.7,2.3,99.0,102.4,108.4
2017-03-01,103.0,2.3,99.3,102.7,108.61
2017-04-01,103.6,2.6,99.5,103.2,108.0
2017-05-01,103.9,2.7,99.6,103.5,108.2
2017-06-01,104.0,2.6,99.5,103.5,108.71
2017-07-01,103.9,2.6,99.4,103.5,108.61
2017-08-01,104.5,2.7,99.5,104.0,109.63
2017-09-01,104.7,2.8,100.3,104.3,109.42
2017-10-01,104.7,2.8,100.6,104.4,109.83
2017-11-01,104.9,2.8,101.1,104.7,110.55
2017-12-01,105.2,2.7,101.9,105.0,110.45
2018-01-01,104.5,2.7,101.8,104.5,110.34
2018-02-01,105.0,2.5,101.9,104.9,110.24
2018-03-01,105.2,2.3,102.3,105.1,110.34
2018-04-01,105.6,2.2,102.2,105.5,110.34
2018-05-01,105.9,2.3,101.9,105.9,111.67
2018-06-01,105.8,2.3,101.5,105.9,112.39
2018-07-01,105.8,2.3,101.7,105.9,112.49
2018-08-01,106.5,2.4,101.9,106.5,113.61
2018-09-01,106.5,2.2,101.8,106.6,114.32
2018-10-01,106.6,2.2,101.5,106.7,114.73
2018-11-01,106.8,2.2,101.7,106.9,114.53
2018-12-01,107.1,2.0,102.6,107.1,114.83
2019-01-01,106.4,1.8,102.7,106.4,114.53
2019-02-01,106.9,1.8,103.1,106.8,114.43
2019-03-01,107.0,1.8,103.2,107.0,113.71
2019-04-01,107.5,2.0,102.9,107.6,114.53
2019-05-01,107.7,1.9,103.0,107.9,115.04
2019-06-01,107.7,1.9,103.2,107.9,115.75
2019-07-01,107.8,2.0,103.2,108.0,116.26
2019-08-01,108.1,1.7,103.8,108.3,117.08
2019-09-01,108.3,1.7,103.5,108.4,116.47
2019-10-01,108.4,1.5,102.9,108.3,115.96
2019-11-01,108.6,1.5,103.8,108.5,115.55
2019-12-01,108.6,1.4,104.3,108.5,115.35
2020-01-01,108.2,1.8,104.2,108.3,115.45
2020-02-01,108.6,1.7,104.4,108.6,115.35
2020-03-01,108.8,1.5,104.6,108.6,115.96
2020-04-01,109.0,0.9,104.4,108.6,114.22
2020-05-01,109.1,0.7,105.0,108.6,113.92
2020-06-01,109.3,0.8,104.4,108.8,114.53
2020-07-01,109.7,1.1,104.1,109.2,115.04
2020-08-01,109.2,0.5,104.2,108.8,114.32
2020-09-01,109.8,0.7,103.5,109.2,114.83
2020-10-01,110.0,0.9,103.5,109.2,115.55
2020-11-01,109.9,0.6,103.3,109.1,115.35
2020-12-01,110.2,0.8,102.9,109.4,116.47
2021-01-01,109.8,0.9,103.5,109.3,116.77
2021-02-01,109.9,0.7,103.8,109.4,116.88
2021-03-01,110.2,1.0,103.1,109.7,117.39
2021-04-01,110.6,1.6,103.9,110.4,117.9
2021-05-01,111.3,2.1,103.6,111.0,118.51
2021-06-01,111.8,2.4,103.8,111.4,118.82
2021-07-01,111.8,2.1,103.4,111.4,120.14
2021-08-01,112.4,3.0,104.6,112.1,121.16
2021-09-01,112.8,2.9,104.4,112.4,123.61
2021-10-01,113.4,3.8,104.9,113.4,124.74
2021-11-01,113.9,4.6,105.9,114.1,127.8
2021-12-01,114.4,4.8,107.3,114.7,126.88
2022-01-01,114.2,4.9,108.0,114.6,128.92
2022-02-01,114.9,5.5,109.0,115.4,130.45
2022-03-01,115.8,6.2,109.3,116.5,134.03
2022-04-01,116.6,7.8,110.9,119.0,139.95
2022-05-01,117.1,7.9,112.6,119.7,141.17
2022-06-01,117.6,8.2,114.0,120.5,142.91
2022-07-01,117.9,8.8,116.6,121.2,144.74
2022-08-01,118.7,8.6,118.3,121.8,145.97
2022-09-01,119.3,8.8,119.6,122.3,147.5
2022-10-01,120.0,9.6,122.0,124.3,147.5
2022-11-01,120.4,9.3,123.4,124.8,147.5
2022-12-01,120.4,9.3,123.4,125.3,147.5
